benchmark,machine,repetition,test,result
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"vm",31198.645283
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"vm-rw",103.09504
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"vm-splice",416051.375327
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,1,"zero",429789.967055
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"af-alg",7468.440419
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"atomic",451923.356985
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"bigheap",28034.441505
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"brk",511050.442007
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"bsearch",251.410694
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"cache",3.100005
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"cpu",175.846948
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"crypt",106.711609
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"full",125425.85525
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"heapsort",2.899995
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"hsearch",2757.312951
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"icache",644.901169
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"lockbus",1265798.999774
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"longjmp",64403.06986
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"lsearch",5.500025
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"malloc",1975970.262618
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"matrix",3194.813787
stressng,c6320.quiho-ivotron.schedock-PG0.clemson.cloudlab.us,2,"memcpy",792.60429
